nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq
30,30,0.0,53.0,89.0,3.0,22912.813922,73.0,974.0,16.0,30,1157.0,30
31,31,15.0,4.0,25.0,7.0,3124.090913,73.0,1438.0,18.0,31,124.0,31
32,32,0.0,53.0,13.0,3.0,1032.975622,257.0,232.0,16.0,32,124.0,32
33,33,1.0,155.0,4.0,3.0,3124.090913,257.0,636.0,44.0,33,1022.0,33
34,34,0.0,4.0,13.0,2.0,22912.813922,257.0,6.0,18.0,34,116.0,34
35,35,1.0,4.0,89.0,3.0,8855.262721,1825.0,232.0,0.0,35,116.0,35
36,36,1.0,4.0,89.0,7.0,21564.817134,73.0,6.0,44.0,36,1157.0,36
37,37,1.0,4.0,4.0,3.0,8855.262721,73.0,974.0,18.0,37,1022.0,37
38,38,32.0,155.0,13.0,7.0,3124.090913,3.0,6.0,19.0,38,1157.0,38
39,39,10.0,281.0,4.0,3.0,22912.813922,1825.0,634.0,16.0,39,116.0,39
40,40,0.0,155.0,155.0,3.0,2918.638493,73.0,636.0,18.0,40,21.0,40
41,41,0.0,4.0,13.0,3.0,3124.090913,1141.0,1438.0,44.0,41,66.0,41
42,42,10.0,155.0,89.0,3.0,3124.090913,257.0,1438.0,16.0,42,116.0,42
43,43,0.0,4.0,4.0,3.0,8855.262721,694.0,6.0,19.0,43,116.0,43
44,44,10.0,4.0,4.0,3.0,3124.090913,1825.0,636.0,44.0,44,66.0,44
45,45,10.0,4.0,4.0,3.0,22912.813922,1825.0,232.0,3.0,45,1024.0,45
46,46,0.0,4.0,13.0,3.0,22912.813922,694.0,636.0,18.0,46,1157.0,46
47,47,0.0,4.0,4.0,3.0,1032.975622,257.0,636.0,16.0,47,1157.0,47
48,48,0.0,53.0,25.0,5.0,21564.817134,73.0,232.0,44.0,48,1157.0,48
49,49,0.0,4.0,13.0,3.0,8855.262721,1141.0,974.0,44.0,49,124.0,49
50,50,1.0,281.0,89.0,3.0,8855.262721,73.0,1438.0,3.0,50,1157.0,50
51,51,0.0,4.0,155.0,5.0,3124.090913,1825.0,1438.0,3.0,51,1157.0,51
52,52,141.0,155.0,4.0,3.0,8855.262721,3.0,974.0,16.0,52,1022.0,52
53,53,0.0,281.0,89.0,3.0,8855.262721,1825.0,634.0,0.0,53,1157.0,53
54,54,0.0,4.0,4.0,3.0,21564.817134,73.0,634.0,16.0,54,124.0,54
55,55,0.0,4.0,4.0,3.0,8855.262721,257.0,974.0,44.0,55,1024.0,55
56,56,10.0,25.0,89.0,3.0,3124.090913,1825.0,1438.0,44.0,56,116.0,56
57,57,0.0,4.0,89.0,5.0,2918.638493,1825.0,6.0,44.0,57,124.0,57
58,58,0.0,4.0,4.0,7.0,5729.330933,257.0,6.0,44.0,58,1157.0,58
59,59,0.0,4.0,13.0,5.0,3124.090913,694.0,634.0,44.0,59,1157.0,59
60,60,0.0,4.0,13.0,7.0,8855.262721,3.0,1438.0,16.0,60,21.0,60
61,61,0.0,155.0,25.0,7.0,1032.975622,257.0,6.0,16.0,61,124.0,61
62,62,10.0,4.0,13.0,3.0,3124.090913,73.0,6.0,44.0,62,116.0,62
63,63,0.0,4.0,13.0,7.0,8855.262721,257.0,1438.0,16.0,63,1157.0,63
64,64,0.0,281.0,13.0,3.0,1032.975622,100.0,1438.0,3.0,64,66.0,64
65,65,0.0,155.0,13.0,3.0,8855.262721,73.0,232.0,16.0,65,1157.0,65
66,66,15.0,4.0,13.0,7.0,2918.638493,2649.0,1438.0,16.0,66,66.0,66
67,67,0.0,4.0,13.0,3.0,1032.975622,257.0,974.0,3.0,67,1157.0,67
68,68,15.0,281.0,4.0,7.0,3124.090913,1825.0,1438.0,16.0,68,1157.0,68
69,69,0.0,155.0,4.0,5.0,714.797745,1825.0,6.0,44.0,69,1157.0,69
70,70,141.0,25.0,4.0,3.0,8855.262721,1141.0,1438.0,44.0,70,1157.0,70
71,71,0.0,4.0,4.0,5.0,3124.090913,73.0,6.0,44.0,71,124.0,71
72,72,141.0,4.0,4.0,5.0,22912.813922,1825.0,974.0,18.0,72,116.0,72
73,73,1.0,4.0,4.0,3.0,1032.975622,1825.0,974.0,3.0,73,1157.0,73
74,74,10.0,53.0,89.0,7.0,21564.817134,257.0,1438.0,3.0,74,1157.0,74
75,75,0.0,155.0,13.0,3.0,3124.090913,694.0,6.0,3.0,75,1157.0,75
76,76,0.0,281.0,13.0,3.0,1032.975622,257.0,6.0,3.0,76,116.0,76
77,77,0.0,4.0,25.0,3.0,21564.817134,73.0,634.0,44.0,77,1157.0,77
78,78,0.0,4.0,13.0,3.0,1032.975622,1825.0,1438.0,3.0,78,66.0,78
79,79,0.0,4.0,4.0,3.0,8855.262721,1825.0,232.0,16.0,79,1157.0,79
80,80,0.0,4.0,4.0,7.0,2918.638493,1825.0,1438.0,3.0,80,66.0,80
81,81,0.0,155.0,18.0,3.0,3124.090913,257.0,232.0,0.0,81,1157.0,81
82,82,0.0,155.0,25.0,5.0,5872.916329,257.0,232.0,44.0,82,21.0,82
83,83,10.0,4.0,4.0,7.0,21564.817134,100.0,974.0,44.0,83,1157.0,83
84,84,1.0,281.0,4.0,3.0,3124.090913,73.0,1438.0,16.0,84,1157.0,84
85,85,0.0,4.0,89.0,3.0,3124.090913,1825.0,6.0,3.0,85,1157.0,85
86,86,0.0,281.0,4.0,3.0,2918.638493,1825.0,636.0,44.0,86,124.0,86
87,87,0.0,4.0,13.0,3.0,3124.090913,3.0,636.0,16.0,87,66.0,87
88,88,1.0,4.0,4.0,3.0,1032.975622,1825.0,232.0,18.0,88,21.0,88
89,89,32.0,155.0,4.0,3.0,5729.330933,257.0,1438.0,3.0,89,1022.0,89
90,90,0.0,4.0,13.0,3.0,5872.916329,1825.0,232.0,3.0,90,116.0,90
91,91,10.0,25.0,89.0,5.0,8855.262721,73.0,636.0,3.0,91,116.0,91
92,92,0.0,4.0,13.0,7.0,2918.638493,257.0,634.0,3.0,92,38.0,92
93,93,10.0,155.0,4.0,3.0,3124.090913,1825.0,634.0,44.0,93,1157.0,93
94,94,0.0,281.0,13.0,3.0,1032.975622,3.0,634.0,3.0,94,1157.0,94
95,95,0.0,155.0,13.0,7.0,1032.975622,1825.0,6.0,0.0,95,1157.0,95
96,96,1.0,281.0,4.0,3.0,3124.090913,1825.0,1438.0,44.0,96,116.0,96
97,97,0.0,4.0,13.0,3.0,3124.090913,100.0,232.0,44.0,97,124.0,97
98,98,15.0,4.0,13.0,3.0,8855.262721,1825.0,634.0,19.0,98,116.0,98
99,99,0.0,4.0,4.0,7.0,8855.262721,1825.0,232.0,44.0,99,1157.0,99
100,100,10.0,4.0,89.0,3.0,3124.090913,1825.0,1438.0,3.0,100,116.0,100
101,101,0.0,4.0,13.0,3.0,8855.262721,694.0,1438.0,3.0,101,1157.0,101
102,102,10.0,4.0,155.0,3.0,8855.262721,73.0,1438.0,44.0,102,124.0,102
103,103,32.0,281.0,4.0,7.0,8855.262721,1825.0,232.0,16.0,103,116.0,103
104,104,0.0,4.0,13.0,3.0,2122.20592,257.0,1438.0,16.0,104,116.0,104
105,105,1.0,4.0,4.0,5.0,3124.090913,257.0,1438.0,19.0,105,116.0,105
106,106,1.0,4.0,4.0,3.0,3625.128146,694.0,636.0,44.0,106,1157.0,106
107,107,1.0,281.0,4.0,7.0,8855.262721,73.0,6.0,18.0,107,1024.0,107
108,108,0.0,4.0,13.0,3.0,3124.090913,257.0,974.0,3.0,108,66.0,108
109,109,32.0,4.0,13.0,3.0,22912.813922,1825.0,1438.0,16.0,109,1157.0,109
110,110,0.0,4.0,25.0,7.0,8855.262721,1141.0,1438.0,0.0,110,116.0,110
111,111,15.0,281.0,13.0,3.0,3124.090913,1825.0,6.0,3.0,111,116.0,111
112,112,10.0,4.0,13.0,3.0,5872.916329,1825.0,6.0,19.0,112,116.0,112
113,113,0.0,155.0,155.0,3.0,3124.090913,1825.0,634.0,3.0,113,66.0,113
114,114,15.0,155.0,13.0,5.0,21564.817134,73.0,1438.0,3.0,114,116.0,114
115,115,0.0,281.0,4.0,3.0,1032.975622,1825.0,974.0,44.0,115,66.0,115
116,116,32.0,4.0,13.0,3.0,2918.638493,257.0,1438.0,44.0,116,116.0,116
117,117,1.0,4.0,13.0,3.0,1032.975622,3.0,636.0,19.0,117,116.0,117
118,118,32.0,155.0,25.0,3.0,8855.262721,1825.0,1438.0,16.0,118,1157.0,118
119,119,10.0,4.0,25.0,3.0,2918.638493,73.0,1438.0,3.0,119,1157.0,119
120,120,10.0,4.0,4.0,2.0,8855.262721,3.0,636.0,44.0,120,116.0,120
121,121,0.0,4.0,13.0,3.0,5872.916329,1825.0,6.0,44.0,121,116.0,121
122,122,32.0,4.0,4.0,5.0,21564.817134,73.0,6.0,44.0,122,66.0,122
123,123,10.0,4.0,13.0,3.0,22912.813922,3.0,1438.0,3.0,123,116.0,123
124,124,0.0,4.0,155.0,7.0,2122.20592,2649.0,232.0,3.0,124,124.0,124
125,125,1.0,4.0,25.0,5.0,2122.20592,73.0,636.0,16.0,125,66.0,125
126,126,0.0,4.0,4.0,2.0,8855.262721,694.0,232.0,44.0,126,1157.0,126
127,127,0.0,4.0,4.0,3.0,1032.975622,257.0,1438.0,44.0,127,1022.0,127
128,128,10.0,4.0,89.0,3.0,8855.262721,3.0,1438.0,44.0,128,116.0,128
129,129,0.0,4.0,4.0,3.0,3124.090913,100.0,1438.0,0.0,129,1157.0,129
130,130,1.0,4.0,4.0,7.0,3124.090913,257.0,1438.0,0.0,130,66.0,130
131,131,0.0,155.0,4.0,3.0,5872.916329,257.0,636.0,18.0,131,1157.0,131
132,132,0.0,155.0,13.0,3.0,3124.090913,1825.0,636.0,3.0,132,21.0,132
133,133,0.0,4.0,89.0,3.0,3124.090913,10229.0,1438.0,18.0,133,116.0,133
134,134,1.0,25.0,155.0,3.0,2918.638493,694.0,232.0,0.0,134,124.0,134
135,135,1.0,281.0,4.0,5.0,8855.262721,2649.0,636.0,44.0,135,66.0,135
136,136,1.0,4.0,4.0,3.0,8855.262721,694.0,634.0,16.0,136,1024.0,136
137,137,10.0,155.0,13.0,3.0,8855.262721,1141.0,232.0,44.0,137,1157.0,137
138,138,10.0,281.0,4.0,3.0,2918.638493,73.0,1438.0,19.0,138,21.0,138
139,139,0.0,155.0,4.0,2.0,8855.262721,1141.0,636.0,16.0,139,21.0,139
140,140,32.0,4.0,89.0,5.0,2122.20592,73.0,634.0,16.0,140,1157.0,140
141,141,0.0,4.0,4.0,5.0,21564.817134,73.0,6.0,3.0,141,1157.0,141
142,142,0.0,4.0,4.0,3.0,3124.090913,257.0,6.0,18.0,142,116.0,142
143,143,32.0,4.0,13.0,3.0,3124.090913,1825.0,636.0,18.0,143,116.0,143
144,144,15.0,25.0,13.0,3.0,2918.638493,1141.0,1438.0,44.0,144,116.0,144
145,145,10.0,4.0,4.0,7.0,8855.262721,100.0,634.0,0.0,145,1157.0,145
146,146,0.0,155.0,4.0,3.0,22912.813922,3.0,636.0,3.0,146,21.0,146
147,147,32.0,4.0,4.0,2.0,8855.262721,73.0,1438.0,19.0,147,1157.0,147
148,148,10.0,4.0,25.0,3.0,8855.262721,257.0,1438.0,18.0,148,66.0,148
149,149,141.0,4.0,4.0,3.0,3124.090913,1825.0,232.0,16.0,149,1157.0,149
150,150,0.0,281.0,13.0,2.0,3124.090913,1141.0,6.0,0.0,150,124.0,150
151,151,32.0,281.0,281.0,3.0,2918.638493,1825.0,1438.0,44.0,151,1157.0,151
152,152,0.0,4.0,13.0,5.0,3124.090913,1141.0,636.0,16.0,152,66.0,152
153,153,1.0,155.0,4.0,3.0,2122.20592,257.0,1438.0,16.0,153,66.0,153
154,154,0.0,4.0,13.0,7.0,8855.262721,257.0,232.0,16.0,154,66.0,154
155,155,15.0,281.0,89.0,7.0,3124.090913,2649.0,6.0,18.0,155,116.0,155
156,156,15.0,4.0,4.0,3.0,8855.262721,257.0,1438.0,3.0,156,116.0,156
157,157,1.0,53.0,13.0,3.0,1032.975622,257.0,232.0,16.0,157,116.0,157
158,158,0.0,4.0,4.0,7.0,21564.817134,1825.0,634.0,44.0,158,116.0,158
159,159,0.0,281.0,25.0,3.0,3124.090913,1825.0,1438.0,3.0,159,1157.0,159
160,160,10.0,155.0,4.0,3.0,2918.638493,1141.0,232.0,18.0,160,21.0,160
161,161,0.0,281.0,4.0,5.0,3124.090913,1141.0,636.0,44.0,161,1157.0,161
162,162,10.0,25.0,13.0,7.0,21564.817134,694.0,974.0,16.0,162,116.0,162
163,163,32.0,4.0,4.0,3.0,8855.262721,3.0,6.0,44.0,163,1157.0,163
164,164,141.0,53.0,13.0,3.0,3124.090913,1825.0,232.0,0.0,164,66.0,164
165,165,15.0,4.0,13.0,7.0,3124.090913,257.0,974.0,18.0,165,1157.0,165
166,166,0.0,4.0,13.0,3.0,8855.262721,3.0,1438.0,0.0,166,116.0,166
167,167,0.0,155.0,4.0,5.0,1032.975622,1825.0,6.0,3.0,167,21.0,167
168,168,10.0,4.0,13.0,3.0,3124.090913,73.0,232.0,44.0,168,1157.0,168
169,169,0.0,4.0,18.0,7.0,3124.090913,1825.0,6.0,16.0,169,124.0,169
170,170,0.0,4.0,18.0,3.0,8855.262721,73.0,232.0,16.0,170,1024.0,170
171,171,0.0,4.0,13.0,3.0,3124.090913,1141.0,1438.0,16.0,171,124.0,171
172,172,0.0,4.0,13.0,3.0,8855.262721,1141.0,232.0,44.0,172,66.0,172
173,173,0.0,281.0,13.0,3.0,8855.262721,73.0,974.0,16.0,173,116.0,173
174,174,15.0,155.0,4.0,3.0,714.797745,257.0,6.0,16.0,174,21.0,174
175,175,0.0,4.0,13.0,3.0,2918.638493,1825.0,636.0,3.0,175,1157.0,175
176,176,0.0,281.0,25.0,5.0,8855.262721,10229.0,1438.0,19.0,176,116.0,176
177,177,32.0,4.0,13.0,3.0,3124.090913,3.0,1438.0,18.0,177,66.0,177
178,178,10.0,155.0,89.0,3.0,1032.975622,73.0,636.0,44.0,178,21.0,178
179,179,0.0,4.0,4.0,3.0,3124.090913,1141.0,6.0,44.0,179,1157.0,179
180,180,0.0,4.0,4.0,3.0,8855.262721,3.0,1438.0,16.0,180,116.0,180
181,181,1.0,4.0,13.0,7.0,22912.813922,1825.0,974.0,16.0,181,116.0,181
182,182,1.0,155.0,4.0,3.0,2918.638493,1141.0,6.0,19.0,182,116.0,182
183,183,0.0,4.0,13.0,3.0,2122.20592,1825.0,974.0,16.0,183,116.0,183
184,184,32.0,281.0,4.0,3.0,3124.090913,1141.0,974.0,18.0,184,1022.0,184
185,185,1.0,53.0,13.0,3.0,5729.330933,1141.0,6.0,44.0,185,21.0,185
186,186,1.0,4.0,18.0,3.0,8855.262721,3.0,636.0,3.0,186,116.0,186
187,187,1.0,155.0,13.0,5.0,3124.090913,73.0,636.0,18.0,187,1157.0,187
188,188,10.0,53.0,13.0,3.0,2918.638493,257.0,1438.0,19.0,188,66.0,188
189,189,0.0,281.0,155.0,3.0,714.797745,257.0,634.0,3.0,189,116.0,189
190,190,0.0,155.0,13.0,3.0,2918.638493,1825.0,636.0,18.0,190,66.0,190
191,191,0.0,4.0,4.0,3.0,1032.975622,1825.0,636.0,44.0,191,116.0,191
192,192,0.0,281.0,4.0,7.0,2918.638493,100.0,634.0,3.0,192,116.0,192
193,193,32.0,4.0,13.0,5.0,3124.090913,2649.0,1438.0,44.0,193,116.0,193
194,194,10.0,4.0,13.0,3.0,1032.975622,1825.0,1438.0,3.0,194,116.0,194
195,195,0.0,4.0,13.0,3.0,3124.090913,1825.0,1438.0,16.0,195,1157.0,195
196,196,0.0,281.0,4.0,3.0,2122.20592,1825.0,6.0,19.0,196,116.0,196
197,197,0.0,4.0,4.0,3.0,8855.262721,73.0,1438.0,16.0,197,116.0,197
198,198,0.0,4.0,25.0,5.0,3124.090913,257.0,232.0,16.0,198,116.0,198
199,199,0.0,4.0,18.0,3.0,8855.262721,3.0,6.0,16.0,199,1157.0,199
200,200,0.0,4.0,13.0,3.0,8855.262721,73.0,636.0,0.0,200,116.0,200
201,201,10.0,4.0,4.0,7.0,1032.975622,1141.0,6.0,16.0,201,66.0,201
202,202,0.0,4.0,4.0,3.0,3124.090913,694.0,634.0,3.0,202,1157.0,202
203,203,0.0,281.0,4.0,3.0,22912.813922,257.0,974.0,44.0,203,1157.0,203
204,204,0.0,155.0,13.0,3.0,714.797745,1825.0,1438.0,16.0,204,116.0,204
205,205,0.0,53.0,25.0,3.0,3124.090913,73.0,232.0,16.0,205,21.0,205
206,206,10.0,281.0,4.0,3.0,3124.090913,257.0,1438.0,44.0,206,1157.0,206
207,207,0.0,281.0,4.0,3.0,21564.817134,2649.0,6.0,19.0,207,116.0,207
208,208,1.0,155.0,13.0,3.0,3124.090913,1141.0,636.0,16.0,208,124.0,208
209,209,32.0,25.0,89.0,2.0,8855.262721,1825.0,232.0,3.0,209,1157.0,209
210,210,141.0,4.0,13.0,3.0,714.797745,1825.0,636.0,16.0,210,116.0,210
211,211,0.0,4.0,25.0,5.0,3124.090913,257.0,6.0,3.0,211,116.0,211
212,212,10.0,25.0,4.0,5.0,3124.090913,257.0,6.0,16.0,212,1157.0,212
213,213,0.0,281.0,4.0,5.0,8855.262721,257.0,1438.0,44.0,213,1157.0,213
214,214,0.0,155.0,13.0,5.0,3124.090913,1825.0,1438.0,3.0,214,1157.0,214
215,215,10.0,4.0,13.0,3.0,1032.975622,257.0,1438.0,16.0,215,21.0,215
216,216,0.0,4.0,89.0,3.0,8855.262721,1825.0,634.0,0.0,216,21.0,216
217,217,0.0,155.0,4.0,3.0,714.797745,3.0,974.0,44.0,217,124.0,217
218,218,1.0,155.0,4.0,3.0,3124.090913,73.0,634.0,3.0,218,1157.0,218
219,219,15.0,281.0,13.0,3.0,3124.090913,1825.0,6.0,18.0,219,66.0,219
220,220,1.0,281.0,13.0,3.0,8855.262721,2649.0,6.0,44.0,220,1157.0,220
221,221,32.0,4.0,13.0,3.0,3124.090913,73.0,1438.0,44.0,221,1157.0,221
222,222,0.0,4.0,13.0,3.0,1032.975622,73.0,974.0,0.0,222,1157.0,222
223,223,15.0,4.0,4.0,3.0,21564.817134,1825.0,1438.0,3.0,223,1022.0,223
224,224,0.0,4.0,25.0,3.0,714.797745,257.0,6.0,3.0,224,116.0,224
225,225,32.0,4.0,4.0,3.0,21564.817134,73.0,1438.0,16.0,225,21.0,225
226,226,10.0,4.0,4.0,3.0,1032.975622,73.0,6.0,16.0,226,1157.0,226
227,227,0.0,281.0,13.0,7.0,1032.975622,100.0,1438.0,3.0,227,116.0,227
228,228,32.0,281.0,4.0,3.0,2122.20592,1825.0,1438.0,44.0,228,66.0,228
229,229,10.0,4.0,13.0,3.0,2122.20592,257.0,974.0,16.0,229,1157.0,229
230,230,0.0,25.0,4.0,3.0,8855.262721,73.0,974.0,16.0,230,124.0,230
231,231,0.0,4.0,4.0,3.0,8855.262721,257.0,6.0,16.0,231,1157.0,231
232,232,0.0,281.0,4.0,3.0,2122.20592,257.0,974.0,3.0,232,1157.0,232
233,233,0.0,4.0,25.0,5.0,1032.975622,3.0,6.0,16.0,233,116.0,233
234,234,0.0,155.0,13.0,3.0,5872.916329,1825.0,1438.0,16.0,234,1024.0,234
235,235,0.0,281.0,4.0,5.0,8855.262721,1825.0,6.0,18.0,235,124.0,235
236,236,0.0,4.0,4.0,3.0,5872.916329,257.0,634.0,19.0,236,116.0,236
237,237,0.0,4.0,4.0,5.0,1032.975622,1825.0,1438.0,3.0,237,124.0,237
238,238,0.0,155.0,13.0,5.0,8855.262721,257.0,1438.0,3.0,238,116.0,238
239,239,1.0,155.0,4.0,3.0,8855.262721,2649.0,6.0,3.0,239,21.0,239
240,240,32.0,4.0,13.0,7.0,8855.262721,694.0,634.0,3.0,240,66.0,240
241,241,0.0,25.0,4.0,3.0,2918.638493,3.0,636.0,3.0,241,124.0,241
242,242,0.0,4.0,25.0,3.0,1032.975622,257.0,1438.0,0.0,242,21.0,242
243,243,0.0,4.0,4.0,3.0,22912.813922,257.0,636.0,44.0,243,1157.0,243
244,244,10.0,4.0,4.0,7.0,3124.090913,3.0,6.0,44.0,244,116.0,244
245,245,0.0,4.0,4.0,3.0,8855.262721,257.0,232.0,0.0,245,21.0,245
246,246,1.0,4.0,89.0,3.0,1032.975622,10229.0,974.0,16.0,246,1157.0,246
247,247,0.0,4.0,4.0,3.0,3124.090913,73.0,1438.0,18.0,247,21.0,247
248,248,0.0,281.0,13.0,3.0,3124.090913,1825.0,232.0,3.0,248,66.0,248
249,249,0.0,4.0,13.0,3.0,1032.975622,73.0,1438.0,3.0,249,1157.0,249
250,250,0.0,4.0,4.0,3.0,3124.090913,73.0,636.0,3.0,250,1157.0,250
251,251,32.0,25.0,89.0,3.0,21564.817134,73.0,634.0,3.0,251,21.0,251
252,252,15.0,281.0,13.0,5.0,8855.262721,3.0,232.0,18.0,252,21.0,252
253,253,10.0,4.0,13.0,3.0,8855.262721,257.0,636.0,18.0,253,116.0,253
254,254,32.0,281.0,13.0,3.0,21564.817134,2649.0,634.0,3.0,254,116.0,254
255,255,0.0,4.0,18.0,3.0,3124.090913,73.0,232.0,3.0,255,1157.0,255
256,256,1.0,4.0,13.0,7.0,8855.262721,1825.0,1438.0,16.0,256,116.0,256
257,257,1.0,4.0,13.0,3.0,1032.975622,1825.0,634.0,16.0,257,1157.0,257
258,258,32.0,4.0,13.0,3.0,8855.262721,2649.0,1438.0,44.0,258,116.0,258
259,259,0.0,4.0,4.0,3.0,3625.128146,3.0,634.0,19.0,259,66.0,259
260,260,0.0,4.0,89.0,5.0,3124.090913,1825.0,6.0,16.0,260,1157.0,260
261,261,0.0,281.0,4.0,3.0,2918.638493,3.0,1438.0,44.0,261,116.0,261
262,262,0.0,281.0,4.0,3.0,3124.090913,100.0,1438.0,16.0,262,124.0,262
263,263,32.0,4.0,4.0,7.0,21564.817134,1825.0,6.0,18.0,263,1157.0,263
264,264,10.0,281.0,18.0,5.0,8855.262721,257.0,1438.0,19.0,264,116.0,264
265,265,15.0,25.0,13.0,3.0,3124.090913,3.0,6.0,16.0,265,116.0,265
266,266,0.0,4.0,13.0,5.0,22912.813922,1825.0,636.0,16.0,266,116.0,266
267,267,1.0,4.0,4.0,7.0,8855.262721,1141.0,1438.0,3.0,267,21.0,267
268,268,0.0,4.0,155.0,3.0,1032.975622,257.0,636.0,44.0,268,1024.0,268
269,269,0.0,4.0,4.0,5.0,8855.262721,257.0,6.0,44.0,269,116.0,269
270,270,141.0,4.0,25.0,3.0,8855.262721,1141.0,232.0,44.0,270,124.0,270
271,271,32.0,4.0,13.0,5.0,1032.975622,1825.0,974.0,0.0,271,1157.0,271
272,272,0.0,25.0,89.0,5.0,21564.817134,257.0,974.0,44.0,272,116.0,272
273,273,32.0,4.0,13.0,7.0,3124.090913,257.0,636.0,44.0,273,1024.0,273
274,274,0.0,281.0,4.0,3.0,2918.638493,257.0,232.0,3.0,274,124.0,274
275,275,32.0,4.0,4.0,2.0,3124.090913,73.0,6.0,19.0,275,124.0,275
276,276,32.0,4.0,4.0,5.0,21564.817134,1825.0,636.0,0.0,276,1157.0,276
277,277,15.0,4.0,4.0,3.0,3124.090913,73.0,6.0,44.0,277,116.0,277
278,278,1.0,281.0,13.0,5.0,21564.817134,694.0,6.0,44.0,278,21.0,278
279,279,32.0,4.0,25.0,5.0,1032.975622,1825.0,6.0,44.0,279,116.0,279
280,280,0.0,4.0,13.0,3.0,1032.975622,3.0,974.0,16.0,280,21.0,280
281,281,15.0,281.0,4.0,3.0,8855.262721,694.0,974.0,16.0,281,1157.0,281
282,282,1.0,4.0,4.0,5.0,3124.090913,257.0,1438.0,16.0,282,1157.0,282
283,283,0.0,53.0,13.0,3.0,8855.262721,3.0,232.0,16.0,283,1157.0,283
284,284,0.0,155.0,13.0,3.0,1032.975622,1825.0,636.0,44.0,284,1157.0,284
285,285,0.0,25.0,4.0,7.0,3124.090913,257.0,1438.0,44.0,285,1022.0,285
286,286,141.0,281.0,4.0,3.0,8855.262721,257.0,6.0,0.0,286,124.0,286
287,287,0.0,155.0,13.0,2.0,3124.090913,1825.0,634.0,19.0,287,124.0,287
288,288,0.0,4.0,13.0,3.0,3124.090913,257.0,1438.0,18.0,288,116.0,288
289,289,1.0,4.0,13.0,5.0,8855.262721,257.0,1438.0,18.0,289,66.0,289
290,290,0.0,155.0,89.0,3.0,8855.262721,1141.0,634.0,44.0,290,1022.0,290
291,291,0.0,155.0,4.0,7.0,8855.262721,257.0,634.0,44.0,291,21.0,291
