@relation R_data_frame

@attribute nonecholoc numeric
@attribute loc numeric
@attribute nmethods numeric
@attribute ccomdeep numeric
@attribute ccom numeric
@attribute nest numeric
@attribute hvol numeric
@attribute nIncomingCalls numeric
@attribute nIncomingCallsUniq numeric
@attribute nOutgoingInternCalls numeric
@attribute nOutgoingExternFlsCalled numeric
@attribute nOutgoingExternFlsCalledUniq numeric
@attribute nOutgoingExternCallsUniq numeric
@attribute IsVulnerable {no,yes}

@data
76,76,2,11,11,2,840.954664,0,0,0,25,16,40,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
4,4,0,1,1,0,12.542316,0,0,0,0,0,0,no
4,4,0,1,1,0,41.747267,0,0,0,25,25,4,no
11,11,0,1,1,0,0,0,0,0,0,0,0,no
74,78,0,7,7,3,702.061192,0,0,0,55,46,33,no
13,13,0,1,1,0,0,0,0,0,0,0,0,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
11,11,0,1,1,0,0,0,0,0,0,0,0,no
67,67,0,5,5,3,767.423729,0,0,0,21,12,27,no
115,115,0,1,1,0,0,0,0,0,0,0,0,no
494,494,22,58,58,4,6176.510949,3,1,0,77,46,143,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
154,158,4,30,30,5,2003.592999,0,0,4,44,23,52,no
16,16,0,1,1,0,0,0,0,0,0,0,0,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
3,3,0,1,1,0,21.972246,0,0,0,25,25,2,no
60,60,0,8,8,4,763.701781,0,0,0,93,67,44,no
6,6,0,1,1,0,0,0,0,0,0,0,0,no
4,4,0,2,2,1,35.968429,0,0,0,25,25,2,no
3,3,0,1,1,0,8.04719,0,0,0,0,0,0,no
232,232,1,52,52,13,2859.165143,1,1,1,201,138,106,no
87,87,0,22,22,6,1031.56853,0,0,0,158,120,53,no
16,16,0,2,2,1,136.620385,0,0,0,20,11,16,no
59,60,0,13,13,6,802.102475,0,0,0,81,67,49,no
33,34,0,3,3,1,352.235008,0,0,0,30,18,22,no
164,167,0,31,31,6,2411.459041,0,0,0,119,71,95,no
84,85,0,11,11,2,1032.975622,0,0,0,89,58,58,yes
84,90,0,20,20,4,1050.657419,0,0,0,94,68,55,no
923,942,102,120,120,3,13333.678134,9514,743,29,1185,1061,212,no
158,158,2,24,24,5,2134.563286,0,0,2,63,38,79,no
10,10,0,2,2,1,35.350506,0,0,0,3,3,5,no
99,99,0,11,11,2,1210.448801,0,0,0,126,86,77,no
130,130,0,23,23,6,1928.047259,0,0,0,140,90,92,no
48,48,2,4,4,1,378.188406,18,9,0,34,31,32,no
99,106,1,19,19,3,1672.623625,1,1,1,79,51,59,no
32,39,0,7,7,2,340.127935,0,0,0,37,26,22,no
101,101,0,5,5,4,803.831841,0,0,0,29,26,162,no
119,119,0,7,7,2,1187.486253,0,0,0,51,45,188,no
28,28,0,3,3,2,365.981711,0,0,0,27,26,51,no
63,63,0,7,7,4,488.668762,0,0,0,31,28,43,no
143,143,0,16,16,4,993.008147,0,0,0,30,28,134,no
14,14,0,2,2,1,173.315213,0,0,0,28,25,31,no
15,15,0,2,2,1,151.579306,0,0,0,26,25,28,no
38,38,0,5,5,3,362.298137,0,0,0,27,26,23,no
307,307,0,47,47,4,4410.652835,0,0,0,109,85,274,no
98,98,0,5,5,2,973.003717,0,0,0,33,30,179,no
197,197,0,4,4,2,1493.0141,0,0,0,31,26,257,no
32,32,0,2,2,1,135.192785,0,0,0,25,25,62,no
32,32,0,2,2,1,377.072066,0,0,0,28,26,46,no
6,6,0,2,2,1,79.018779,0,0,0,25,25,5,no
110,110,0,10,10,5,1199.098684,0,0,0,68,62,91,no
76,84,0,16,16,3,1079.25362,0,0,0,62,33,57,no
30,34,0,3,3,1,342.269211,0,0,0,105,86,25,no
67,68,0,16,16,3,798.160603,0,0,0,41,32,32,no
35,42,0,7,7,2,457.706692,0,0,0,34,24,20,no
110,111,4,17,17,5,1281.209129,1,1,4,117,92,63,no
22,22,1,2,2,1,131.81222,9,9,0,32,29,15,no
796,803,12,196,196,12,12518.739315,287,264,8,459,318,310,no
253,253,6,34,34,4,2454.250063,269,238,2,173,150,227,no
29,29,2,7,7,3,365.518932,2,1,0,72,64,12,no
49,49,0,18,18,9,623.420628,0,0,0,75,69,19,no
31,31,0,7,7,4,442.539296,0,0,0,72,58,28,no
29,29,0,6,6,4,440.364471,0,0,0,69,53,29,no
55,55,1,7,7,2,776.389418,0,0,0,43,32,21,no
123,125,3,18,18,3,1072.938079,0,0,3,106,74,45,no
79,85,1,14,14,4,1165.602019,0,0,0,47,35,29,no
42,42,0,11,11,5,571.411467,0,0,0,121,84,33,no
78,78,2,12,12,2,698.151549,18,9,0,15,12,49,no
45,45,0,8,8,3,583.744089,0,0,0,146,119,33,no
13,13,1,2,2,1,56.869054,9,9,0,12,10,6,no
188,188,0,46,46,5,3211.375933,0,0,0,100,56,120,no
134,134,7,12,12,2,1257.413296,170,75,1,148,127,77,no
53,53,3,7,7,2,383.977591,568,561,2,1043,1025,12,no
37,37,0,7,7,2,305.759933,0,0,0,17,12,14,no
48,48,0,8,8,3,597.092645,0,0,0,127,102,33,no
65,65,0,10,10,5,725.801665,0,0,0,133,104,41,no
38,38,0,5,5,2,458.167565,0,0,0,123,99,23,no
57,57,0,11,11,3,721.724128,0,0,0,57,41,34,no
100,100,0,17,17,4,1473.043812,0,0,0,162,125,58,no
486,486,23,52,52,2,3871.225995,262,23,0,61,56,226,no
61,61,0,10,10,5,667.901963,0,0,0,109,85,35,no
114,114,12,13,13,4,1023.607592,847,656,5,203,150,19,no
88,88,4,13,13,6,725.801665,139,92,4,249,186,22,no
85,85,3,12,12,4,804.680849,89,87,1,239,223,20,no
79,79,3,9,9,3,819.941625,89,87,1,193,186,15,no
87,87,3,11,11,5,932.732371,89,87,1,242,216,25,no
93,93,3,12,12,4,832.521719,89,87,1,229,207,24,no
41,41,2,3,3,1,336.530746,139,92,2,184,132,13,no
64,64,2,9,9,5,690.275312,139,92,2,220,153,37,no
64,64,2,9,9,5,690.275312,139,92,2,210,147,37,no
64,64,2,9,9,5,690.275312,139,92,2,211,148,37,no
48,48,2,6,6,4,387.532939,139,92,2,184,133,14,no
45,45,2,6,6,4,299.689329,139,92,2,185,133,11,no
107,107,2,12,12,1,1310.048171,139,92,2,290,220,56,no
169,169,2,37,37,3,2264.215416,139,92,2,321,211,76,no
77,77,2,9,9,1,897.285972,139,92,2,240,183,32,no
109,109,2,23,23,4,1208.401142,139,92,2,319,207,67,no
83,83,2,9,9,1,1002.312571,139,92,2,272,208,39,no
159,159,2,41,41,9,1824.817057,139,92,2,372,233,87,no
192,192,2,31,31,3,4338.206368,139,92,2,268,198,148,no
68,68,2,13,13,4,698.848557,139,92,2,282,191,44,no
120,120,2,18,18,5,1940.973544,139,92,2,280,216,59,no
32,32,2,4,4,1,231.097624,139,92,2,199,145,20,no
51,51,2,5,5,3,422.477396,139,92,2,198,146,16,no
42,42,2,4,4,1,279.720605,139,92,2,198,146,13,no
27,27,2,4,4,2,147.221949,139,92,2,177,129,5,no
45,45,2,8,8,3,352.845857,139,92,2,189,135,13,no
33,33,2,7,7,3,170.600419,139,92,2,183,133,7,no
187,187,2,39,39,10,2746.899516,139,92,2,237,184,60,no
61,61,2,8,8,1,619.365539,139,92,2,254,186,54,no
61,61,2,8,8,1,619.365539,139,92,2,244,181,54,no
61,61,2,8,8,1,619.365539,139,92,2,245,182,54,no
57,57,2,8,8,1,568.205764,139,92,2,242,180,50,no
36,36,2,7,7,2,259.98609,139,92,2,206,149,17,no
36,36,2,7,7,2,259.98609,139,92,2,194,140,17,no
36,36,2,7,7,2,259.98609,139,92,2,193,139,17,no
48,48,2,7,7,2,346.030411,139,92,2,223,161,25,no
82,82,2,16,16,5,876.450087,139,92,2,300,216,36,no
48,48,2,8,8,4,346.832708,139,92,2,181,130,10,no
43,43,2,9,9,2,404.93764,139,92,2,185,133,12,no
25,25,2,4,4,1,146.190476,139,92,2,179,129,8,no
32,32,2,7,7,3,226.589907,139,92,2,178,128,7,no
56,56,2,16,16,3,505.376485,139,92,2,199,143,13,no
56,56,2,16,16,3,505.376485,139,92,2,189,137,13,no
56,56,2,16,16,3,505.376485,139,92,2,190,138,13,no
55,55,2,9,9,5,426.689623,139,92,2,197,138,11,no
147,147,5,19,19,2,1461.005572,139,92,5,255,193,51,no
45,45,2,6,6,2,362.553953,139,92,2,185,133,15,no
40,40,2,10,10,3,286.220146,139,92,2,182,134,7,no
500,500,17,76,76,4,6685.899382,139,92,17,317,235,210,no
49,49,2,7,7,2,424.979195,139,92,2,188,136,17,no
48,48,2,13,13,3,394.643635,139,92,2,186,136,10,no
25,25,2,2,2,1,145.278995,139,92,2,182,132,8,no
56,56,0,12,12,8,638.748167,0,0,0,94,85,32,no
79,79,9,14,14,3,560.749382,139,124,4,164,153,29,no
36,36,9,2,2,1,158.902692,129,119,0,18,16,9,no
1117,1117,91,162,162,5,13476.607761,121,75,64,320,227,303,no
351,351,98,59,59,5,7408.057749,183,145,11,84,73,37,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
8,8,0,1,1,0,0,0,0,0,0,0,0,no
10,10,0,1,1,0,1.386294,0,0,0,0,0,0,no
584,584,46,107,107,4,5474.846594,132,101,35,90,54,138,no
208,208,13,54,54,3,3046.993677,29,16,1,96,61,77,no
10,10,0,2,2,1,63.769541,0,0,0,8,6,8,no
8,8,1,2,2,1,17.513191,0,0,0,9,5,4,no
40,40,0,1,1,0,0,0,0,0,0,0,0,no
10,10,0,4,4,2,43.749117,0,0,0,4,2,2,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
364,365,22,84,84,5,5394.281463,46,23,8,116,63,123,no
8,9,0,2,2,1,50.142089,0,0,0,6,5,7,no
7,7,1,2,2,1,19.459101,0,0,0,5,5,2,no
44,44,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
88,88,15,10,10,4,697.073412,38,21,0,62,47,25,no
19,19,0,1,1,0,0,0,0,0,0,0,0,no
101,101,10,24,24,2,977.337525,25,15,1,69,51,28,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
106,106,8,23,23,3,1128.433957,177,168,1,3,3,10,no
15,15,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
69,69,8,10,10,2,512.060738,23,13,0,8,5,7,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
11,11,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
1010,1012,39,215,215,7,16890.785896,66,34,18,189,82,315,no
10,10,0,2,2,1,63.769541,0,0,0,8,6,8,no
9,9,1,3,3,1,19.459101,0,0,0,9,5,5,no
116,116,0,1,1,0,0,0,0,0,0,0,0,no
23,23,0,3,3,1,247.262807,0,0,0,48,38,20,yes
20,20,0,4,4,1,201.00255,0,0,0,48,38,20,no
24,24,0,6,6,3,216.655075,0,0,0,17,13,18,yes
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
55,55,11,6,6,2,289.306349,32,17,0,12,6,10,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
538,538,30,96,96,4,8128.279441,36,23,7,142,71,135,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
41,41,0,1,1,0,1.386294,0,0,0,0,0,0,no
12,12,1,4,4,3,62.285155,0,0,0,10,9,4,no
22,22,0,8,8,1,206.59668,0,0,0,22,16,22,no
25,25,0,5,5,1,276.456548,0,0,0,19,12,20,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
50,50,7,8,8,2,318.729863,19,13,0,8,5,6,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
9,9,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
27,27,7,2,2,1,59.914645,22,12,0,0,0,0,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
41,41,10,3,3,1,170.656707,29,14,0,8,5,5,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
34,34,7,3,3,1,121.945964,19,13,0,3,3,1,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
5,5,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
72,72,8,12,12,2,627.134564,23,13,0,12,7,11,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
13,13,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
89,89,7,13,13,2,723.706177,19,13,0,90,74,18,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
16,16,0,1,1,0,0,0,0,0,0,0,0,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
180,180,18,36,36,4,2415.695175,32,22,6,36,32,33,no
5,5,1,1,1,0,4.394449,0,0,0,2,2,1,no
44,44,0,11,11,4,787.725944,0,0,0,45,33,26,no
33,33,0,1,1,0,0,0,0,0,0,0,0,no
33,33,0,6,6,2,478.580175,0,0,0,46,35,21,yes
55,55,2,20,20,9,675.33096,0,0,1,66,59,12,no
2,2,0,1,1,0,1.386294,0,0,0,0,0,0,no
43,43,11,3,3,1,186.342985,31,18,0,8,5,5,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
59,59,1,1,1,0,236.432658,555,555,1,1018,1018,1,no
67,67,0,10,10,2,730.502786,0,0,0,255,200,46,no
454,454,7,129,129,6,7696.866296,0,0,6,96,49,101,no
36,36,0,3,3,1,390.521422,0,0,0,110,79,29,no
17,17,1,1,1,0,116.446159,9,9,0,26,23,10,no
285,293,9,37,37,5,5416.638576,4,1,1,74,61,200,no
63,64,4,15,15,5,805.656743,0,0,3,18,14,16,no
21,21,2,6,6,2,118.736375,6,3,0,13,13,2,no
394,394,24,56,56,4,4346.504884,572,562,21,40,36,29,no
143,143,11,24,24,6,1749.133493,22,14,4,66,59,32,no
59,59,4,10,10,3,627.134564,1,1,3,11,6,12,no
24,24,2,3,3,2,92.491896,1,1,1,3,2,3,no
533,533,26,95,95,6,7735.090683,18,16,23,44,31,104,no
50,50,2,9,9,3,405.53146,1,1,1,6,4,10,no
55,55,0,1,1,0,77.632484,0,0,0,0,0,0,no
68,68,3,14,14,5,495.728842,0,0,2,24,22,25,no
180,180,31,5,5,1,1761.574707,1417,664,11,1170,1064,46,no
236,236,38,16,16,2,2297.068707,1452,683,10,1170,1064,54,no
87,87,0,13,13,3,1190.86691,0,0,0,308,215,74,no
256,256,23,48,48,4,3145.891819,19,7,7,137,101,47,no
5,5,0,1,1,0,28.56392,0,0,0,6,5,4,no
116,116,14,15,15,3,1131.07578,692,633,5,1269,1110,56,no
90,90,15,10,10,2,738.492523,606,576,3,1139,1066,25,no
44,44,6,4,4,1,266.962786,583,571,1,1037,1018,20,no
33,33,4,3,3,1,182.453406,75,53,3,136,128,10,no
16,16,5,1,1,0,12.542316,12,6,0,0,0,0,no
33,33,2,4,4,1,209.701259,7,7,0,20,12,27,no
72,72,5,12,12,3,738.492523,7,5,3,35,18,40,no
28,28,4,2,2,1,205.216395,582,571,0,3,3,1,no
72,72,6,9,9,3,386.368217,26,16,0,7,5,18,no
53,53,2,1,1,0,380.565305,7,7,0,9,7,45,no
62,62,7,7,7,3,548.159399,662,622,3,1166,1064,31,no
25,25,2,1,1,0,54.667946,562,558,1,1026,1021,3,no
848,848,44,49,49,4,6957.036401,124,44,0,315,210,327,no
28,28,4,2,2,1,205.216395,579,573,0,3,3,1,no
75,75,6,16,16,4,654.697679,591,576,4,75,73,9,no
138,138,23,14,14,3,1223.12651,700,633,5,1258,1109,43,no
81,81,20,5,5,2,413.982466,607,575,3,1122,1065,11,no
56,56,7,5,5,1,429.832006,583,571,1,1111,1048,39,no
19,19,6,1,1,0,10.750557,12,6,0,0,0,0,no
53,53,4,4,4,1,169.286658,8,8,0,8,7,17,no
79,79,4,16,16,3,881.127349,6,4,3,70,53,41,no
89,89,15,13,13,3,933.756075,743,597,8,32,16,20,no
134,134,11,17,17,3,1233.262159,25,15,0,37,13,35,no
118,118,2,11,11,1,873.037582,7,7,0,21,18,70,no
69,69,9,9,9,3,654.193384,675,632,3,1170,1063,28,no
24,24,1,1,1,0,33.271065,555,555,1,1020,1018,2,no
1253,1253,94,178,178,5,19852.850311,159,52,1,429,199,525,yes
69,69,13,7,7,3,692.984093,742,598,8,29,14,16,no
41,41,0,8,8,3,542.750649,0,0,0,266,201,39,no
109,109,0,10,10,2,1213.21416,0,0,0,121,94,70,no
12,12,1,1,1,0,58.059261,9,9,0,9,9,5,no
314,327,6,100,100,11,4439.45557,0,0,3,49,21,108,no
137,137,4,25,25,3,1085.001309,10,4,0,147,87,47,no
99,99,3,19,19,2,714.628022,8,4,0,94,52,34,no
244,244,15,38,38,5,2522.387497,35,16,6,291,147,106,no
7,7,1,1,1,0,11.090355,555,555,1,1018,1018,1,no
93,93,7,13,13,2,879.827496,9,6,0,30,20,26,no
19,19,2,2,2,1,94.781757,2,1,0,64,53,6,no
72,72,6,18,18,4,702.741669,34,31,2,143,103,27,no
58,58,4,8,8,1,538.512846,25,15,0,99,52,27,no
556,556,28,117,117,8,8612.10472,597,561,14,1323,1134,133,no
66,66,7,11,11,2,722.248517,10,6,1,9,9,8,no
24,24,4,4,4,1,132.957101,4,1,0,2,2,1,no
83,83,24,1,1,0,214.229396,0,0,0,0,0,0,no
25,25,7,1,1,0,74.334753,860,777,3,84,49,6,no
280,280,9,45,45,6,3784.408211,2,2,8,289,163,116,no
27,27,3,6,6,2,209.226929,2,2,2,11,10,10,no
147,147,5,28,28,4,1760.627512,10,6,1,107,102,24,no
147,147,10,26,26,3,1542.749689,611,589,4,1179,1097,33,no
16,16,6,1,1,0,10.750557,307,251,0,0,0,0,no
62,62,8,7,7,3,455.995693,1150,576,5,1084,1048,8,no
80,80,8,18,18,2,635.554472,1188,613,4,1097,1069,10,no
100,100,9,17,17,3,998.13194,1124,563,5,1061,1032,13,no
18,18,2,2,2,1,104.828894,557,555,1,1022,1018,4,no
124,124,10,23,23,5,1452.985373,596,577,5,20,20,10,no
57,57,5,14,14,3,514.64979,1125,566,1,1120,1074,12,no
21,21,3,1,1,0,69.538963,558,556,1,1020,1018,7,no
71,71,2,16,16,2,952.481996,556,555,1,1105,1027,49,no
34,34,3,5,5,2,197.536136,559,556,1,1022,1018,5,no
22,22,3,3,3,1,101.163012,559,556,1,1022,1018,4,no
44,44,4,9,9,5,302.204585,560,556,2,1097,1071,10,no
26,26,3,3,3,1,129.555315,559,556,1,1022,1018,7,no
69,69,0,2,2,1,555.210892,0,0,0,0,0,0,no
68,68,0,2,2,1,511.774369,0,0,0,0,0,0,no
4,4,2,1,1,0,5.545177,2,2,0,0,0,0,no
4,4,2,1,1,0,3.295837,17,14,0,0,0,0,no
3,3,1,1,1,0,0,76,76,0,0,0,0,no
3,3,1,1,1,0,10.750557,40,40,0,0,0,0,no
3,3,1,1,1,0,1.386294,36,36,0,0,0,0,no
90,90,14,10,10,1,628.175479,1191,596,8,1106,1073,12,no
29,29,3,3,3,1,188.536033,557,556,2,1030,1025,4,no
6,6,1,1,1,0,9.656627,2,2,0,0,0,0,no
38,38,5,9,9,2,318.847703,558,556,1,1033,1021,5,no
12,12,1,2,2,1,89.365657,2,2,0,12,12,2,no
11,11,1,2,2,1,57.152853,2,2,0,12,12,2,no
28,28,4,5,5,1,152.226122,579,570,1,10,9,3,no
7,7,2,1,1,0,4.394449,77,77,1,3,3,1,no
58,58,13,3,3,1,318.847703,1348,692,8,1136,1058,16,no
18,18,3,3,3,1,64.743172,1119,559,2,1023,1019,3,no
57,57,5,10,10,2,543.929992,635,614,3,1245,1135,22,no
19,19,4,2,2,1,69.577386,1122,560,3,1026,1019,4,no
84,84,15,13,13,3,498.244384,1364,687,8,1170,1069,12,no
65,65,13,10,10,1,358.390619,1404,701,9,1067,1024,11,no
115,115,22,17,17,3,849.349207,1575,797,12,1200,1072,22,no
7,7,2,1,1,0,4.394449,77,77,1,3,3,1,no
99,99,24,4,4,1,590.715474,1410,707,14,1161,1062,24,no
18,18,3,3,3,1,64.743172,1125,565,2,1025,1019,3,no
173,173,18,37,37,3,2236.610646,827,667,9,1300,1152,69,no
59,59,17,3,3,1,298.756887,1184,589,12,1056,1025,17,no
7,7,1,1,1,0,29.112182,555,555,1,1018,1018,1,no
45,45,6,7,7,3,346.64812,591,567,4,1051,1025,8,no
282,282,30,44,44,4,2324.578512,1334,633,15,1126,1053,36,no
7,7,1,1,1,0,29.112182,555,555,1,1018,1018,1,no
7,7,1,1,1,0,29.112182,555,555,1,1018,1018,1,no
7,7,1,1,1,0,29.112182,555,555,1,1018,1018,1,no
179,179,29,18,18,2,1436.105055,3455,592,4,1047,1026,59,no
24,24,3,5,5,1,124.285986,38,37,0,53,48,6,no
27,27,4,5,5,1,137.803685,39,38,0,53,48,6,no
140,140,20,23,23,3,1329.24504,708,612,7,1230,1119,30,no
26,26,2,11,11,3,110.840408,73,70,2,86,83,10,no
65,65,12,7,7,2,468.219486,624,592,5,1213,1118,18,no
54,54,9,9,9,3,497.110059,1120,560,2,1082,1047,20,no
61,61,11,6,6,1,283.140587,2364,609,2,1019,1018,4,no
6,6,1,1,1,0,5.493061,8,8,1,4,4,1,no
136,136,17,32,32,5,1183.265578,1769,609,11,1122,1059,35,no
137,137,21,30,30,3,1110.031292,1272,635,9,1112,1050,29,no
